分拣中心,日期,小时,货量
SC5,2023-12-3,18,126
SC5,2023-12-3,19,1143
SC5,2023-12-3,20,2273
SC5,2023-12-3,21,1757
SC5,2023-12-3,22,743
SC5,2023-12-3,23,1919
SC5,2023-12-4,0,2803
SC5,2023-12-4,1,1898
SC5,2023-12-4,2,2307
SC5,2023-12-4,3,2225
SC5,2023-12-4,4,2263
SC5,2023-12-4,5,1661
SC5,2023-12-4,6,85
SC5,2023-12-4,7,107
SC5,2023-12-4,8,99
SC5,2023-12-4,9,126
SC5,2023-12-4,10,181
SC5,2023-12-4,11,631
SC5,2023-12-4,12,947
SC5,2023-12-4,13,2238
SC5,2023-12-4,14,786
SC5,2023-12-4,15,61
SC5,2023-12-4,16,161
SC5,2023-12-4,17,99
SC5,2023-12-4,18,124
SC5,2023-12-4,19,1123
SC5,2023-12-4,20,2234
SC5,2023-12-4,21,1726
SC5,2023-12-4,22,730
SC5,2023-12-4,23,1886
SC5,2023-12-5,0,2826
SC5,2023-12-5,1,1914
SC5,2023-12-5,2,2326
SC5,2023-12-5,3,2244
SC5,2023-12-5,4,2282
SC5,2023-12-5,5,1675
SC5,2023-12-5,6,86
SC5,2023-12-5,7,107
SC5,2023-12-5,8,100
SC5,2023-12-5,9,127
SC5,2023-12-5,10,183
SC5,2023-12-5,11,636
SC5,2023-12-5,12,955
SC5,2023-12-5,13,2257
SC5,2023-12-5,14,792
SC5,2023-12-5,15,61
SC5,2023-12-5,16,162
SC5,2023-12-5,17,100
SC5,2023-12-5,18,125
SC5,2023-12-5,19,1132
SC5,2023-12-5,20,2252
SC5,2023-12-5,21,1740
SC5,2023-12-5,22,736
SC5,2023-12-5,23,1901
SC5,2023-12-6,0,2698
SC5,2023-12-6,1,1827
SC5,2023-12-6,2,2220
SC5,2023-12-6,3,2142
SC5,2023-12-6,4,2178
SC5,2023-12-6,5,1598
SC5,2023-12-6,6,82
SC5,2023-12-6,7,103
SC5,2023-12-6,8,95
SC5,2023-12-6,9,121
SC5,2023-12-6,10,174
SC5,2023-12-6,11,607
SC5,2023-12-6,12,911
SC5,2023-12-6,13,2154
SC5,2023-12-6,14,756
SC5,2023-12-6,15,58
SC5,2023-12-6,16,155
SC5,2023-12-6,17,95
SC5,2023-12-6,18,119
SC5,2023-12-6,19,1081
SC5,2023-12-6,20,2150
SC5,2023-12-6,21,1661
SC5,2023-12-6,22,703
SC5,2023-12-6,23,1815
SC5,2023-12-7,0,2590
SC5,2023-12-7,1,1754
SC5,2023-12-7,2,2132
SC5,2023-12-7,3,2056
SC5,2023-12-7,4,2091
SC5,2023-12-7,5,1535
SC5,2023-12-7,6,79
SC5,2023-12-7,7,98
SC5,2023-12-7,8,91
SC5,2023-12-7,9,116
SC5,2023-12-7,10,167
SC5,2023-12-7,11,583
SC5,2023-12-7,12,875
SC5,2023-12-7,13,2069
SC5,2023-12-7,14,726
SC5,2023-12-7,15,56
SC5,2023-12-7,16,149
SC5,2023-12-7,17,91
SC5,2023-12-7,18,115
SC5,2023-12-7,19,1038
SC5,2023-12-7,20,2064
SC5,2023-12-7,21,1595
SC5,2023-12-7,22,675
SC5,2023-12-7,23,1742
SC5,2023-12-8,0,2570
SC5,2023-12-8,1,1740
SC5,2023-12-8,2,2115
SC5,2023-12-8,3,2040
SC5,2023-12-8,4,2075
SC5,2023-12-8,5,1523
SC5,2023-12-8,6,78
SC5,2023-12-8,7,98
SC5,2023-12-8,8,91
SC5,2023-12-8,9,115
SC5,2023-12-8,10,166
SC5,2023-12-8,11,579
SC5,2023-12-8,12,868
SC5,2023-12-8,13,2052
SC5,2023-12-8,14,721
SC5,2023-12-8,15,56
SC5,2023-12-8,16,147
SC5,2023-12-8,17,91
SC5,2023-12-8,18,114
SC5,2023-12-8,19,1029
SC5,2023-12-8,20,2048
SC5,2023-12-8,21,1582
SC5,2023-12-8,22,669
SC5,2023-12-8,23,1728
SC5,2023-12-9,0,2508
SC5,2023-12-9,1,1699
SC5,2023-12-9,2,2064
SC5,2023-12-9,3,1991
SC5,2023-12-9,4,2025
SC5,2023-12-9,5,1486
SC5,2023-12-9,6,76
SC5,2023-12-9,7,95
SC5,2023-12-9,8,88
SC5,2023-12-9,9,112
SC5,2023-12-9,10,162
SC5,2023-12-9,11,565
SC5,2023-12-9,12,847
SC5,2023-12-9,13,2003
SC5,2023-12-9,14,703
SC5,2023-12-9,15,54
SC5,2023-12-9,16,144
SC5,2023-12-9,17,88
SC5,2023-12-9,18,111
SC5,2023-12-9,19,1005
SC5,2023-12-9,20,1998
SC5,2023-12-9,21,1544
SC5,2023-12-9,22,653
SC5,2023-12-9,23,1687
SC5,2023-12-10,0,2542
SC5,2023-12-10,1,1721
SC5,2023-12-10,2,2091
SC5,2023-12-10,3,2018
SC5,2023-12-10,4,2052
SC5,2023-12-10,5,1506
SC5,2023-12-10,6,77
SC5,2023-12-10,7,97
SC5,2023-12-10,8,90
SC5,2023-12-10,9,114
SC5,2023-12-10,10,164
SC5,2023-12-10,11,572
SC5,2023-12-10,12,859
SC5,2023-12-10,13,2030
SC5,2023-12-10,14,713
SC5,2023-12-10,15,55
SC5,2023-12-10,16,146
SC5,2023-12-10,17,90
SC5,2023-12-10,18,112
SC5,2023-12-10,19,1018
SC5,2023-12-10,20,2025
SC5,2023-12-10,21,1565
SC5,2023-12-10,22,662
SC5,2023-12-10,23,1710
SC5,2023-12-11,0,2647
SC5,2023-12-11,1,1793
SC5,2023-12-11,2,2178
SC5,2023-12-11,3,2101
SC5,2023-12-11,4,2137
SC5,2023-12-11,5,1568
SC5,2023-12-11,6,80
SC5,2023-12-11,7,101
SC5,2023-12-11,8,93
SC5,2023-12-11,9,119
SC5,2023-12-11,10,171
SC5,2023-12-11,11,596
SC5,2023-12-11,12,894
SC5,2023-12-11,13,2114
SC5,2023-12-11,14,742
SC5,2023-12-11,15,57
SC5,2023-12-11,16,152
SC5,2023-12-11,17,93
SC5,2023-12-11,18,117
SC5,2023-12-11,19,1060
SC5,2023-12-11,20,2109
SC5,2023-12-11,21,1630
SC5,2023-12-11,22,690
SC5,2023-12-11,23,1780
SC5,2023-12-12,0,2827
SC5,2023-12-12,1,1915
SC5,2023-12-12,2,2327
SC5,2023-12-12,3,2245
SC5,2023-12-12,4,2283
SC5,2023-12-12,5,1675
SC5,2023-12-12,6,86
SC5,2023-12-12,7,107
SC5,2023-12-12,8,100
SC5,2023-12-12,9,127
SC5,2023-12-12,10,183
SC5,2023-12-12,11,637
SC5,2023-12-12,12,955
SC5,2023-12-12,13,2258
SC5,2023-12-12,14,793
SC5,2023-12-12,15,61
SC5,2023-12-12,16,162
SC5,2023-12-12,17,100
SC5,2023-12-12,18,125
SC5,2023-12-12,19,1132
SC5,2023-12-12,20,2253
SC5,2023-12-12,21,1741
SC5,2023-12-12,22,737
SC5,2023-12-12,23,1902
SC5,2023-12-13,0,3065
SC5,2023-12-13,1,2075
SC5,2023-12-13,2,2522
SC5,2023-12-13,3,2433
SC5,2023-12-13,4,2474
SC5,2023-12-13,5,1816
SC5,2023-12-13,6,93
SC5,2023-12-13,7,116
SC5,2023-12-13,8,108
SC5,2023-12-13,9,137
SC5,2023-12-13,10,198
SC5,2023-12-13,11,690
SC5,2023-12-13,12,1035
SC5,2023-12-13,13,2447
SC5,2023-12-13,14,859
SC5,2023-12-13,15,66
SC5,2023-12-13,16,176
SC5,2023-12-13,17,108
SC5,2023-12-13,18,136
SC5,2023-12-13,19,1227
SC5,2023-12-13,20,2442
SC5,2023-12-13,21,1887
SC5,2023-12-13,22,798
SC5,2023-12-13,23,2061
SC5,2023-12-14,0,2996
SC5,2023-12-14,1,2029
SC5,2023-12-14,2,2465
SC5,2023-12-14,3,2378
SC5,2023-12-14,4,2419
SC5,2023-12-14,5,1775
SC5,2023-12-14,6,91
SC5,2023-12-14,7,114
SC5,2023-12-14,8,106
SC5,2023-12-14,9,134
SC5,2023-12-14,10,194
SC5,2023-12-14,11,674
SC5,2023-12-14,12,1012
SC5,2023-12-14,13,2392
SC5,2023-12-14,14,840
SC5,2023-12-14,15,65
SC5,2023-12-14,16,172
SC5,2023-12-14,17,106
SC5,2023-12-14,18,133
SC5,2023-12-14,19,1200
SC5,2023-12-14,20,2387
SC5,2023-12-14,21,1845
SC5,2023-12-14,22,780
SC5,2023-12-14,23,2015
SC5,2023-12-15,0,2874
SC5,2023-12-15,1,1947
SC5,2023-12-15,2,2365
SC5,2023-12-15,3,2282
SC5,2023-12-15,4,2321
SC5,2023-12-15,5,1703
SC5,2023-12-15,6,87
SC5,2023-12-15,7,109
SC5,2023-12-15,8,101
SC5,2023-12-15,9,129
SC5,2023-12-15,10,186
SC5,2023-12-15,11,647
SC5,2023-12-15,12,971
SC5,2023-12-15,13,2295
SC5,2023-12-15,14,806
SC5,2023-12-15,15,62
SC5,2023-12-15,16,165
SC5,2023-12-15,17,101
SC5,2023-12-15,18,127
SC5,2023-12-15,19,1151
SC5,2023-12-15,20,2290
SC5,2023-12-15,21,1770
SC5,2023-12-15,22,749
SC5,2023-12-15,23,1933
SC5,2023-12-16,0,2771
SC5,2023-12-16,1,1876
SC5,2023-12-16,2,2280
SC5,2023-12-16,3,2199
SC5,2023-12-16,4,2237
SC5,2023-12-16,5,1642
SC5,2023-12-16,6,84
SC5,2023-12-16,7,105
SC5,2023-12-16,8,98
SC5,2023-12-16,9,124
SC5,2023-12-16,10,179
SC5,2023-12-16,11,624
SC5,2023-12-16,12,936
SC5,2023-12-16,13,2212
SC5,2023-12-16,14,777
SC5,2023-12-16,15,60
SC5,2023-12-16,16,159
SC5,2023-12-16,17,98
SC5,2023-12-16,18,123
SC5,2023-12-16,19,1110
SC5,2023-12-16,20,2208
SC5,2023-12-16,21,1706
SC5,2023-12-16,22,722
SC5,2023-12-16,23,1864
SC5,2023-12-17,0,2669
SC5,2023-12-17,1,1808
SC5,2023-12-17,2,2196
SC5,2023-12-17,3,2119
SC5,2023-12-17,4,2155
SC5,2023-12-17,5,1581
SC5,2023-12-17,6,81
SC5,2023-12-17,7,101
SC5,2023-12-17,8,94
SC5,2023-12-17,9,120
SC5,2023-12-17,10,173
SC5,2023-12-17,11,601
SC5,2023-12-17,12,902
SC5,2023-12-17,13,2131
SC5,2023-12-17,14,748
SC5,2023-12-17,15,58
SC5,2023-12-17,16,153
SC5,2023-12-17,17,94
SC5,2023-12-17,18,118
SC5,2023-12-17,19,1069
SC5,2023-12-17,20,2127
SC5,2023-12-17,21,1644
SC5,2023-12-17,22,695
SC5,2023-12-17,23,1795
SC5,2023-12-18,0,2574
SC5,2023-12-18,1,1743
SC5,2023-12-18,2,2118
SC5,2023-12-18,3,2044
SC5,2023-12-18,4,2079
SC5,2023-12-18,5,1525
SC5,2023-12-18,6,78
SC5,2023-12-18,7,98
SC5,2023-12-18,8,91
SC5,2023-12-18,9,115
SC5,2023-12-18,10,166
SC5,2023-12-18,11,580
SC5,2023-12-18,12,870
SC5,2023-12-18,13,2056
SC5,2023-12-18,14,722
SC5,2023-12-18,15,56
SC5,2023-12-18,16,148
SC5,2023-12-18,17,91
SC5,2023-12-18,18,114
SC5,2023-12-18,19,1031
SC5,2023-12-18,20,2051
SC5,2023-12-18,21,1585
SC5,2023-12-18,22,671
SC5,2023-12-18,23,1732
SC5,2023-12-19,0,2413
SC5,2023-12-19,1,1634
SC5,2023-12-19,2,1985
SC5,2023-12-19,3,1915
SC5,2023-12-19,4,1948
SC5,2023-12-19,5,1430
SC5,2023-12-19,6,73
SC5,2023-12-19,7,92
SC5,2023-12-19,8,85
SC5,2023-12-19,9,108
SC5,2023-12-19,10,156
SC5,2023-12-19,11,543
SC5,2023-12-19,12,815
SC5,2023-12-19,13,1927
SC5,2023-12-19,14,677
SC5,2023-12-19,15,52
SC5,2023-12-19,16,138
SC5,2023-12-19,17,85
SC5,2023-12-19,18,107
SC5,2023-12-19,19,966
SC5,2023-12-19,20,1923
SC5,2023-12-19,21,1486
SC5,2023-12-19,22,629
SC5,2023-12-19,23,1623
SC5,2023-12-20,0,2322
SC5,2023-12-20,1,1573
SC5,2023-12-20,2,1911
SC5,2023-12-20,3,1843
SC5,2023-12-20,4,1875
SC5,2023-12-20,5,1376
SC5,2023-12-20,6,70
SC5,2023-12-20,7,88
SC5,2023-12-20,8,82
SC5,2023-12-20,9,104
SC5,2023-12-20,10,150
SC5,2023-12-20,11,523
SC5,2023-12-20,12,785
SC5,2023-12-20,13,1854
SC5,2023-12-20,14,651
SC5,2023-12-20,15,50
SC5,2023-12-20,16,133
SC5,2023-12-20,17,82
SC5,2023-12-20,18,103
SC5,2023-12-20,19,930
SC5,2023-12-20,20,1850
SC5,2023-12-20,21,1430
SC5,2023-12-20,22,605
SC5,2023-12-20,23,1562
SC5,2023-12-21,0,2302
SC5,2023-12-21,1,1559
SC5,2023-12-21,2,1894
SC5,2023-12-21,3,1827
SC5,2023-12-21,4,1858
SC5,2023-12-21,5,1364
SC5,2023-12-21,6,70
SC5,2023-12-21,7,87
SC5,2023-12-21,8,81
SC5,2023-12-21,9,103
SC5,2023-12-21,10,149
SC5,2023-12-21,11,518
SC5,2023-12-21,12,778
SC5,2023-12-21,13,1838
SC5,2023-12-21,14,645
SC5,2023-12-21,15,50
SC5,2023-12-21,16,132
SC5,2023-12-21,17,81
SC5,2023-12-21,18,102
SC5,2023-12-21,19,922
SC5,2023-12-21,20,1834
SC5,2023-12-21,21,1417
SC5,2023-12-21,22,600
SC5,2023-12-21,23,1548
SC5,2023-12-22,0,2265
SC5,2023-12-22,1,1534
SC5,2023-12-22,2,1864
SC5,2023-12-22,3,1798
SC5,2023-12-22,4,1829
SC5,2023-12-22,5,1342
SC5,2023-12-22,6,69
SC5,2023-12-22,7,86
SC5,2023-12-22,8,80
SC5,2023-12-22,9,102
SC5,2023-12-22,10,146
SC5,2023-12-22,11,510
SC5,2023-12-22,12,765
SC5,2023-12-22,13,1809
SC5,2023-12-22,14,635
SC5,2023-12-22,15,49
SC5,2023-12-22,16,130
SC5,2023-12-22,17,80
SC5,2023-12-22,18,100
SC5,2023-12-22,19,907
SC5,2023-12-22,20,1805
SC5,2023-12-22,21,1395
SC5,2023-12-22,22,590
SC5,2023-12-22,23,1524
SC5,2023-12-23,0,2249
SC5,2023-12-23,1,1523
SC5,2023-12-23,2,1851
SC5,2023-12-23,3,1785
SC5,2023-12-23,4,1816
SC5,2023-12-23,5,1332
SC5,2023-12-23,6,68
SC5,2023-12-23,7,85
SC5,2023-12-23,8,79
SC5,2023-12-23,9,101
SC5,2023-12-23,10,145
SC5,2023-12-23,11,506
SC5,2023-12-23,12,760
SC5,2023-12-23,13,1796
SC5,2023-12-23,14,631
SC5,2023-12-23,15,49
SC5,2023-12-23,16,129
SC5,2023-12-23,17,79
SC5,2023-12-23,18,100
SC5,2023-12-23,19,901
SC5,2023-12-23,20,1792
SC5,2023-12-23,21,1385
SC5,2023-12-23,22,586
SC5,2023-12-23,23,1513
SC5,2023-12-24,0,2289
SC5,2023-12-24,1,1550
SC5,2023-12-24,2,1884
SC5,2023-12-24,3,1817
SC5,2023-12-24,4,1848
SC5,2023-12-24,5,1356
SC5,2023-12-24,6,69
SC5,2023-12-24,7,87
SC5,2023-12-24,8,81
SC5,2023-12-24,9,103
SC5,2023-12-24,10,148
SC5,2023-12-24,11,515
SC5,2023-12-24,12,773
SC5,2023-12-24,13,1828
SC5,2023-12-24,14,642
SC5,2023-12-24,15,50
SC5,2023-12-24,16,131
SC5,2023-12-24,17,81
SC5,2023-12-24,18,101
SC5,2023-12-24,19,917
SC5,2023-12-24,20,1824
SC5,2023-12-24,21,1410
SC5,2023-12-24,22,596
SC5,2023-12-24,23,1540
SC5,2023-12-25,0,2322
SC5,2023-12-25,1,1573
SC5,2023-12-25,2,1911
SC5,2023-12-25,3,1844
SC5,2023-12-25,4,1875
SC5,2023-12-25,5,1376
SC5,2023-12-25,6,70
SC5,2023-12-25,7,88
SC5,2023-12-25,8,82
SC5,2023-12-25,9,104
SC5,2023-12-25,10,150
SC5,2023-12-25,11,523
SC5,2023-12-25,12,785
SC5,2023-12-25,13,1855
SC5,2023-12-25,14,651
SC5,2023-12-25,15,50
SC5,2023-12-25,16,133
SC5,2023-12-25,17,82
SC5,2023-12-25,18,103
SC5,2023-12-25,19,930
SC5,2023-12-25,20,1851
SC5,2023-12-25,21,1430
SC5,2023-12-25,22,605
SC5,2023-12-25,23,1562
SC5,2023-12-26,0,2167
SC5,2023-12-26,1,1467
SC5,2023-12-26,2,1783
SC5,2023-12-26,3,1720
SC5,2023-12-26,4,1749
SC5,2023-12-26,5,1284
SC5,2023-12-26,6,66
SC5,2023-12-26,7,82
SC5,2023-12-26,8,76
SC5,2023-12-26,9,97
SC5,2023-12-26,10,140
SC5,2023-12-26,11,488
SC5,2023-12-26,12,732
SC5,2023-12-26,13,1730
SC5,2023-12-26,14,608
SC5,2023-12-26,15,47
SC5,2023-12-26,16,124
SC5,2023-12-26,17,76
SC5,2023-12-26,18,96
SC5,2023-12-26,19,868
SC5,2023-12-26,20,1726
SC5,2023-12-26,21,1334
SC5,2023-12-26,22,564
SC5,2023-12-26,23,1457
SC5,2023-12-27,0,2320
SC5,2023-12-27,1,1571
SC5,2023-12-27,2,1909
SC5,2023-12-27,3,1841
SC5,2023-12-27,4,1873
SC5,2023-12-27,5,1374
SC5,2023-12-27,6,70
SC5,2023-12-27,7,88
SC5,2023-12-27,8,82
SC5,2023-12-27,9,104
SC5,2023-12-27,10,150
SC5,2023-12-27,11,522
SC5,2023-12-27,12,784
SC5,2023-12-27,13,1852
SC5,2023-12-27,14,650
SC5,2023-12-27,15,50
SC5,2023-12-27,16,133
SC5,2023-12-27,17,82
SC5,2023-12-27,18,103
SC5,2023-12-27,19,929
SC5,2023-12-27,20,1848
SC5,2023-12-27,21,1428
SC5,2023-12-27,22,604
SC5,2023-12-27,23,1560
SC5,2023-12-28,0,2284
SC5,2023-12-28,1,1547
SC5,2023-12-28,2,1880
SC5,2023-12-28,3,1813
SC5,2023-12-28,4,1844
SC5,2023-12-28,5,1353
SC5,2023-12-28,6,69
SC5,2023-12-28,7,87
SC5,2023-12-28,8,81
SC5,2023-12-28,9,102
SC5,2023-12-28,10,148
SC5,2023-12-28,11,514
SC5,2023-12-28,12,772
SC5,2023-12-28,13,1824
SC5,2023-12-28,14,641
SC5,2023-12-28,15,49
SC5,2023-12-28,16,131
SC5,2023-12-28,17,80
SC5,2023-12-28,18,101
SC5,2023-12-28,19,915
SC5,2023-12-28,20,1820
SC5,2023-12-28,21,1407
SC5,2023-12-28,22,595
SC5,2023-12-28,23,1537
SC5,2023-12-29,0,2292
SC5,2023-12-29,1,1552
SC5,2023-12-29,2,1886
SC5,2023-12-29,3,1820
SC5,2023-12-29,4,1851
SC5,2023-12-29,5,1358
SC5,2023-12-29,6,70
SC5,2023-12-29,7,87
SC5,2023-12-29,8,81
SC5,2023-12-29,9,103
SC5,2023-12-29,10,148
SC5,2023-12-29,11,516
SC5,2023-12-29,12,774
SC5,2023-12-29,13,1830
SC5,2023-12-29,14,643
SC5,2023-12-29,15,50
SC5,2023-12-29,16,131
SC5,2023-12-29,17,81
SC5,2023-12-29,18,101
SC5,2023-12-29,19,918
SC5,2023-12-29,20,1826
SC5,2023-12-29,21,1411
SC5,2023-12-29,22,597
SC5,2023-12-29,23,1542
SC5,2023-12-30,0,2330
SC5,2023-12-30,1,1578
SC5,2023-12-30,2,1917
SC5,2023-12-30,3,1849
SC5,2023-12-30,4,1881
SC5,2023-12-30,5,1380
SC5,2023-12-30,6,71
SC5,2023-12-30,7,89
SC5,2023-12-30,8,82
SC5,2023-12-30,9,104
SC5,2023-12-30,10,151
SC5,2023-12-30,11,524
SC5,2023-12-30,12,787
SC5,2023-12-30,13,1860
SC5,2023-12-30,14,653
SC5,2023-12-30,15,50
SC5,2023-12-30,16,134
SC5,2023-12-30,17,82
SC5,2023-12-30,18,103
SC5,2023-12-30,19,933
SC5,2023-12-30,20,1856
SC5,2023-12-30,21,1434
SC5,2023-12-30,22,607
SC5,2023-12-30,23,1567
SC6,2023-12-1,0,1456
SC6,2023-12-1,1,1653
SC6,2023-12-1,2,1866
SC6,2023-12-1,3,1887
SC6,2023-12-1,4,1803
SC6,2023-12-1,5,1537
SC6,2023-12-1,6,104
SC6,2023-12-1,7,179
SC6,2023-12-1,8,235
SC6,2023-12-1,9,881
SC6,2023-12-1,10,793
SC6,2023-12-1,11,967
SC6,2023-12-1,12,794
SC6,2023-12-1,13,135
SC6,2023-12-1,14,99
SC6,2023-12-1,15,202
SC6,2023-12-1,16,213
SC6,2023-12-1,17,236
SC6,2023-12-1,18,1573
SC6,2023-12-1,19,2646
SC6,2023-12-1,20,2694
SC6,2023-12-1,21,2956
SC6,2023-12-1,22,2613
SC6,2023-12-1,23,1318
SC6,2023-12-2,0,1719
SC6,2023-12-2,1,1952
SC6,2023-12-2,2,2203
SC6,2023-12-2,3,2229
SC6,2023-12-2,4,2130
SC6,2023-12-2,5,1816
SC6,2023-12-2,6,122
SC6,2023-12-2,7,212
SC6,2023-12-2,8,278
SC6,2023-12-2,9,1040
SC6,2023-12-2,10,937
SC6,2023-12-2,11,1143
SC6,2023-12-2,12,938
SC6,2023-12-2,13,159
SC6,2023-12-2,14,117
SC6,2023-12-2,15,239
SC6,2023-12-2,16,251
SC6,2023-12-2,17,278
SC6,2023-12-2,18,1858
SC6,2023-12-2,19,3125
SC6,2023-12-2,20,3182
SC6,2023-12-2,21,3492
SC6,2023-12-2,22,3087
SC6,2023-12-2,23,1557
SC6,2023-12-3,0,1818
SC6,2023-12-3,1,2064
SC6,2023-12-3,2,2329
SC6,2023-12-3,3,2356
SC6,2023-12-3,4,2252
SC6,2023-12-3,5,1919
SC6,2023-12-3,6,129
SC6,2023-12-3,7,224
SC6,2023-12-3,8,294
SC6,2023-12-3,9,1100
SC6,2023-12-3,10,990
SC6,2023-12-3,11,1208
SC6,2023-12-3,12,991
SC6,2023-12-3,13,168
SC6,2023-12-3,14,124
SC6,2023-12-3,15,253
SC6,2023-12-3,16,265
SC6,2023-12-3,17,294
SC6,2023-12-3,18,1964
SC6,2023-12-3,19,3304
SC6,2023-12-3,20,3364
SC6,2023-12-3,21,3692
SC6,2023-12-3,22,3263
SC6,2023-12-3,23,1646
SC6,2023-12-4,0,1763
SC6,2023-12-4,1,2003
SC6,2023-12-4,2,2260
SC6,2023-12-4,3,2286
SC6,2023-12-4,4,2185
SC6,2023-12-4,5,1862
SC6,2023-12-4,6,125
SC6,2023-12-4,7,217
SC6,2023-12-4,8,285
SC6,2023-12-4,9,1067
SC6,2023-12-4,10,961
SC6,2023-12-4,11,1172
SC6,2023-12-4,12,962
SC6,2023-12-4,13,163
SC6,2023-12-4,14,120
SC6,2023-12-4,15,245
SC6,2023-12-4,16,258
SC6,2023-12-4,17,285
SC6,2023-12-4,18,1906
SC6,2023-12-4,19,3205
SC6,2023-12-4,20,3264
SC6,2023-12-4,21,3582
SC6,2023-12-4,22,3166
SC6,2023-12-4,23,1597
SC6,2023-12-5,0,1773
SC6,2023-12-5,1,2013
SC6,2023-12-5,2,2272
SC6,2023-12-5,3,2298
SC6,2023-12-5,4,2196
SC6,2023-12-5,5,1872
SC6,2023-12-5,6,126
SC6,2023-12-5,7,218
SC6,2023-12-5,8,287
SC6,2023-12-5,9,1072
SC6,2023-12-5,10,966
SC6,2023-12-5,11,1178
SC6,2023-12-5,12,967
SC6,2023-12-5,13,164
SC6,2023-12-5,14,121
SC6,2023-12-5,15,247
SC6,2023-12-5,16,259
SC6,2023-12-5,17,287
SC6,2023-12-5,18,1916
SC6,2023-12-5,19,3222
SC6,2023-12-5,20,3281
SC6,2023-12-5,21,3600
SC6,2023-12-5,22,3183
SC6,2023-12-5,23,1605
SC6,2023-12-6,0,1706
SC6,2023-12-6,1,1937
SC6,2023-12-6,2,2186
SC6,2023-12-6,3,2211
SC6,2023-12-6,4,2113
SC6,2023-12-6,5,1801
SC6,2023-12-6,6,121
SC6,2023-12-6,7,210
SC6,2023-12-6,8,276
SC6,2023-12-6,9,1032
SC6,2023-12-6,10,929
SC6,2023-12-6,11,1134
SC6,2023-12-6,12,930
SC6,2023-12-6,13,158
SC6,2023-12-6,14,116
SC6,2023-12-6,15,237
SC6,2023-12-6,16,249
SC6,2023-12-6,17,276
SC6,2023-12-6,18,1843
SC6,2023-12-6,19,3100
SC6,2023-12-6,20,3157
SC6,2023-12-6,21,3464
SC6,2023-12-6,22,3062
SC6,2023-12-6,23,1544
SC6,2023-12-7,0,1637
SC6,2023-12-7,1,1859
SC6,2023-12-7,2,2098
SC6,2023-12-7,3,2122
SC6,2023-12-7,4,2028
SC6,2023-12-7,5,1729
SC6,2023-12-7,6,116
SC6,2023-12-7,7,201
SC6,2023-12-7,8,265
SC6,2023-12-7,9,990
SC6,2023-12-7,10,892
SC6,2023-12-7,11,1088
SC6,2023-12-7,12,893
SC6,2023-12-7,13,152
SC6,2023-12-7,14,112
SC6,2023-12-7,15,228
SC6,2023-12-7,16,239
SC6,2023-12-7,17,265
SC6,2023-12-7,18,1770
SC6,2023-12-7,19,2976
SC6,2023-12-7,20,3031
SC6,2023-12-7,21,3325
SC6,2023-12-7,22,2939
SC6,2023-12-7,23,1482
SC6,2023-12-8,0,1550
SC6,2023-12-8,1,1760
SC6,2023-12-8,2,1987
SC6,2023-12-8,3,2009
SC6,2023-12-8,4,1921
SC6,2023-12-8,5,1637
SC6,2023-12-8,6,110
SC6,2023-12-8,7,191
SC6,2023-12-8,8,251
SC6,2023-12-8,9,938
SC6,2023-12-8,10,844
SC6,2023-12-8,11,1030
SC6,2023-12-8,12,846
SC6,2023-12-8,13,144
SC6,2023-12-8,14,106
SC6,2023-12-8,15,216
SC6,2023-12-8,16,226
SC6,2023-12-8,17,251
SC6,2023-12-8,18,1676
SC6,2023-12-8,19,2818
SC6,2023-12-8,20,2869
SC6,2023-12-8,21,3149
SC6,2023-12-8,22,2783
SC6,2023-12-8,23,1403
SC6,2023-12-9,0,1601
SC6,2023-12-9,1,1818
SC6,2023-12-9,2,2052
SC6,2023-12-9,3,2075
SC6,2023-12-9,4,1984
SC6,2023-12-9,5,1691
SC6,2023-12-9,6,114
SC6,2023-12-9,7,197
SC6,2023-12-9,8,259
SC6,2023-12-9,9,969
SC6,2023-12-9,10,872
SC6,2023-12-9,11,1064
SC6,2023-12-9,12,873
SC6,2023-12-9,13,148
SC6,2023-12-9,14,109
SC6,2023-12-9,15,223
SC6,2023-12-9,16,234
SC6,2023-12-9,17,259
SC6,2023-12-9,18,1730
SC6,2023-12-9,19,2910
SC6,2023-12-9,20,2964
SC6,2023-12-9,21,3252
SC6,2023-12-9,22,2874
SC6,2023-12-9,23,1450
SC6,2023-12-10,0,1609
SC6,2023-12-10,1,1827
SC6,2023-12-10,2,2062
SC6,2023-12-10,3,2086
SC6,2023-12-10,4,1993
SC6,2023-12-10,5,1699
SC6,2023-12-10,6,114
SC6,2023-12-10,7,198
SC6,2023-12-10,8,260
SC6,2023-12-10,9,973
SC6,2023-12-10,10,876
SC6,2023-12-10,11,1069
SC6,2023-12-10,12,878
SC6,2023-12-10,13,149
SC6,2023-12-10,14,110
SC6,2023-12-10,15,224
SC6,2023-12-10,16,235
SC6,2023-12-10,17,260
SC6,2023-12-10,18,1739
SC6,2023-12-10,19,2924
SC6,2023-12-10,20,2978
SC6,2023-12-10,21,3268
SC6,2023-12-10,22,2889
SC6,2023-12-10,23,1457
SC6,2023-12-11,0,1596
SC6,2023-12-11,1,1812
SC6,2023-12-11,2,2045
SC6,2023-12-11,3,2068
SC6,2023-12-11,4,1977
SC6,2023-12-11,5,1685
SC6,2023-12-11,6,113
SC6,2023-12-11,7,196
SC6,2023-12-11,8,258
